Group,,"('Recall', 'mean ± sd')","('Recall', '95% confidence interval')","('ROC-AUC', 'mean ± sd')","('ROC-AUC', '95% confidence interval')","('PR-AUC', 'mean ± sd')","('PR-AUC', '95% confidence interval')"
GaussDiff,global,0.596 ± 0.018,"[0.586, 0.604]",0.600 ± 0.009,"[0.595, 0.604]",0.087 ± 0.004,"[0.085, 0.089]"
Baseline,TVAE,0.479 ± 0.057,"[0.451, 0.506]",0.524 ± 0.008,"[0.520, 0.528]",0.069 ± 0.002,"[0.068, 0.070]"
,CTGAN,0.196 ± 0.051,"[0.175, 0.224]",0.580 ± 0.025,"[0.567, 0.592]",0.087 ± 0.009,"[0.083, 0.091]"
,SMOTE,0.070 ± 0.007,"[0.066, 0.073]",0.529 ± 0.003,"[0.528, 0.531]",0.069 ± 0.001,"[0.069, 0.069]"
,ADASYN,0.065 ± 0.004,"[0.063, 0.067]",0.526 ± 0.003,"[0.525, 0.528]",0.068 ± 0.001,"[0.068, 0.068]"
,Random oversampling,0.000 ± 0.000,"[0.000, 0.000]",0.548 ± 0.004,"[0.546, 0.550]",0.076 ± 0.001,"[0.075, 0.076]"
